date,high,low,open,close,volume,quoteVolume,weightedAverage
2015-02-19 16:00:00,225,225,225,225,0.999999,0.00444444,225
2015-02-19 20:00:00,244,225,225,244,45.27631367,0.18867304,239.9723547
2015-02-20 00:00:00,244,244,244,244,0,0,244
2015-02-20 04:00:00,240.2501181,240.2501157,240.2501181,240.2501157,10.57100509,0.044,240.2501157
2015-02-20 08:00:00,245,240.25,244,240.25,45.32389191,0.18642935,243.1156463
2015-02-20 12:00:00,240.25,240.25,240.25,240.25,0,0,240.25
2015-02-20 16:00:00,240.25,240.25,240.25,240.25,0,0,240.25
2015-02-20 20:00:00,240.25,240.25,240.25,240.25,0,0,240.25
2015-02-21 00:00:00,240.25,240.25,240.25,240.25,0,0,240.25
2015-02-21 04:00:00,240.25,240.25,240.25,240.25,0,0,240.25
2015-02-21 08:00:00,240.25,240.25,240.25,240.25,0,0,240.25
2015-02-21 12:00:00,240.25,240.25,240.25,240.25,0,0,240.25
2015-02-21 16:00:00,245,245,245,245,14.72223865,0.06009077,245
2015-02-21 20:00:00,245,245,245,245,0,0,245
2015-02-22 00:00:00,249,245,245,249,4.99300143,0.02021607,246.9818036
2015-02-22 04:00:00,249,249,249,249,0,0,249
2015-02-22 08:00:00,245,245,245,245,4.4570302,0.01819196,245
2015-02-22 12:00:00,245.0000172,244,245.0000172,244,51.03221976,0.20900653,244.1656716
2015-02-22 16:00:00,235.5000071,235.5,235.5000071,235.5,48.73875501,0.20695862,235.5
2015-02-22 20:00:00,235.001,235,235.001,235,19.90024144,0.08468181,235.0001901
2015-02-23 00:00:00,235.001,235,235.0000024,235,93.74860118,0.39893011,235.0000635
2015-02-23 04:00:00,235.000026,235.000026,235.000026,235.000026,0.0417266,0.00017756,235.000026
2015-02-23 08:00:00,235.000026,235.000026,235.000026,235.000026,0,0,235.000026
2015-02-23 12:00:00,235.000026,235.000026,235.000026,235.000026,0,0,235.000026
2015-02-23 16:00:00,235.000026,235.000026,235.000026,235.000026,0,0,235.000026
2015-02-23 20:00:00,235,235,235,235,2.7772347,0.01181802,235
2015-02-24 00:00:00,235,235,235,235,0.93876155,0.00399473,235
2015-02-24 04:00:00,235,235,235,235,0,0,235
2015-02-24 08:00:00,235,235,235,235,0,0,235
2015-02-24 12:00:00,238.0000378,238.0000378,238.0000378,238.0000378,16.77681306,0.0704908,238.0000378
2015-02-24 16:00:00,238.0000378,238.0000378,238.0000378,238.0000378,131.4164499,0.55216987,238.0000378
2015-02-24 20:00:00,239.75,239.75,239.75,239.75,0.02236867,0.0000933,239.75
2015-02-25 00:00:00,239.75,239.75,239.75,239.75,0,0,239.75
2015-02-25 04:00:00,239.75,239.75,239.75,239.75,0,0,239.75
2015-02-25 08:00:00,239.75,237.75,239.75,237.75,221.5840953,0.92755033,238.8917217
2015-02-25 12:00:00,237.75,237.75,237.75,237.75,0,0,237.75
2015-02-25 16:00:00,237.75,237.75,237.75,237.75,0,0,237.75
2015-02-25 20:00:00,237.75,237.75,237.75,237.75,0,0,237.75
2015-02-26 00:00:00,237.75,237.75,237.75,237.75,0,0,237.75
2015-02-26 04:00:00,237.75,237.75,237.75,237.75,0,0,237.75
2015-02-26 08:00:00,237.75,237.75,237.75,237.75,0.00305271,0.00001284,237.75
2015-02-26 12:00:00,239.8,237.75,237.75,239.8,0.12346224,0.00051594,239.2957447
2015-02-26 16:00:00,238.5,238.5,238.5,238.5,0.02897298,0.00012148,238.5
2015-02-26 20:00:00,238.5,238.5,238.5,238.5,0,0,238.5
2015-02-27 00:00:00,248.6,238.5,238.5,248.6,364.2083617,1.50970167,241.2452532
2015-02-27 04:00:00,239,239,239,239,0.14654046,0.00061314,239
2015-02-27 08:00:00,249,239,239,249,2.12450398,0.00871082,243.8925359
2015-02-27 12:00:00,249,239,249,239,5.62000078,0.02320042,242.2370276
2015-02-27 16:00:00,249,249,249,249,11.65601619,0.04681131,249
2015-02-27 20:00:00,249,249,249,249,0,0,249
2015-02-28 00:00:00,240,240,240,240,0.0199248,0.00008302,240
2015-02-28 04:00:00,240,240,240,240,0,0,240
2015-02-28 08:00:00,240,240,240,240,0,0,240
2015-02-28 12:00:00,240,240,240,240,12.0742032,0.05030918,240
2015-02-28 16:00:00,240,240,240,240,0,0,240
2015-02-28 20:00:00,251,240,240.000053,240.0000603,5.05320776,0.02093792,241.3423955
2015-03-01 00:00:00,240.0000603,240.0000603,240.0000603,240.0000603,0,0,240.0000603
2015-03-01 04:00:00,240.0001205,240.0001205,240.0001205,240.0001205,0.02208241,0.00009201,240.0001205
2015-03-01 08:00:00,251,251,251,251,0.02619938,0.00010438,251
2015-03-01 12:00:00,251,251,251,251,0,0,251
2015-03-01 16:00:00,251,251,251,251,0,0,251
2015-03-01 20:00:00,251,251,251,251,0.26943344,0.00107344,251
2015-03-02 00:00:00,251,251,251,251,0,0,251
2015-03-02 04:00:00,251,251,251,251,0,0,251
2015-03-02 08:00:00,251,251,251,251,0,0,251
2015-03-02 12:00:00,252,252,252,252,0.10000116,0.00039683,252
2015-03-02 16:00:00,251.0000076,251,251.0000076,251,0.55125122,0.00219622,251.0000027
2015-03-02 20:00:00,269,252,252,269,97.4125524,0.3764387,258.7740113
2015-03-03 00:00:00,269,269,269,269,0,0,269
2015-03-03 04:00:00,268,268,268,268,44.71887128,0.16686146,268
2015-03-03 08:00:00,274.5,255,265,269,313.878913,1.18732719,264.3575551
2015-03-03 12:00:00,269,258.875,269,258.875,67.7037823,0.25251499,268.1178741
2015-03-03 16:00:00,268.2,258.875,268.2,258.875,5.99270318,0.02278881,262.9669205
2015-03-03 20:00:00,267.22,267.22,267.22,267.22,10.68879999,0.04,267.22
2015-03-04 00:00:00,267.22,267.22,267.22,267.22,0,0,267.22
2015-03-04 04:00:00,267.22,267.22,267.22,267.22,0,0,267.22
2015-03-04 08:00:00,258.875,258.875,258.875,258.875,1.94957209,0.00753094,258.875
2015-03-04 12:00:00,258.875,258.875,258.875,258.875,0,0,258.875
2015-03-04 16:00:00,280,267.22,267.22,280,9.26787779,0.0333158,278.1826578
2015-03-04 20:00:00,280,280,280,280,234.6715728,0.83811276,280
2015-03-05 00:00:00,257,257,257,257,1.85383609,0.00721337,257
2015-03-05 04:00:00,257,257,257,257,29.70980395,0.11560235,257
2015-03-05 08:00:00,280.89,277.02,280.89,277.02,20.62650903,0.0734818,280.7022833
2015-03-05 12:00:00,277.02,277.02,277.02,277.02,0,0,277.02
